movieId,title,rating_count,mean_rating,median_rating,std_rating,bayesian_score
318,"Shawshank Redemption, The (1994)",317,4.429022082018927,4.5,0.7118931016352927,4.35623023255814
858,"Godfather, The (1972)",192,4.2890625,4.5,0.9019857469829646,4.19197808219178
2959,Fight Club (1999),218,4.272935779816514,4.5,0.8594064548229576,4.187931428571429
260,Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155,4.5,0.8702648989071843,4.160227338129497
50,"Usual Suspects, The (1995)",204,4.237745098039215,4.5,0.7989556993568507,4.151702164502164
527,Schindler's List (1993),220,4.225,4.5,0.9737754547962462,4.145923886639675
296,Pulp Fiction (1994),307,4.197068403908795,4.5,0.9504453980131069,4.140847904191617
1196,Star Wars: Episode V - The Empire Strikes Back (1980),211,4.2156398104265405,4.5,0.84016018734861,4.134635294117647
2571,"Matrix, The (1999)",278,4.192446043165468,4.5,0.9734869031917082,4.131289180327869
1221,"Godfather: Part II, The (1974)",129,4.25968992248062,4.5,0.7999534269238935,4.128482051282051
58559,"Dark Knight, The (2008)",149,4.238255033557047,4.5,0.7225604468744571,4.125245454545454
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200,4.2075,4.0,0.7925867460410879,4.123538325991189
1213,Goodfellas (1990),126,4.25,4.0,0.6806567789963239,4.117929411764706
1197,"Princess Bride, The (1987)",142,4.232394366197183,4.5,0.8107160194504686,4.1156402366863905
356,Forrest Gump (1994),329,4.164133738601824,4.0,0.8299792690044783,4.113885393258427
593,"Silence of the Lambs, The (1991)",279,4.161290322580645,4.0,0.852451525827036,4.103082352941176
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97,4.268041237113402,4.5,0.8029002058584501,4.101154838709677
48516,"Departed, The (2006)",107,4.252336448598131,4.5,0.6882655695870428,4.101068656716418
2329,American History X (1998),129,4.217054263565892,4.0,0.6405090067697251,4.093225641025641
1193,One Flew Over the Cuckoo's Nest (1975),133,4.203007518796992,4.0,0.7560224217568596,4.084645
912,Casablanca (1942),100,4.24,4.5,0.8957678270623476,4.083017322834646
1089,Reservoir Dogs (1992),131,4.202290076335878,4.0,0.7857962023202391,4.082551898734177
904,Rear Window (1954),84,4.261904761904762,4.5,0.7810104508027013,4.076965765765766
1208,Apocalypse Now (1979),107,4.219626168224299,4.5,0.8293043196814587,4.074949253731343
2028,Saving Private Ryan (1998),188,4.1462765957446805,4.0,0.8096078431345679,4.065317209302325
1210,Star Wars: Episode VI - Return of the Jedi (1983),196,4.137755102040816,4.0,0.8639037297701081,4.060731838565022
