w_als,w_content,w_knn,precision_at_k,recall_at_k,coverage_at_k
0.1,0.1,0.8,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.1,0.2,0.7,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.1,0.3,0.6,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.2,0.1,0.7,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.2,0.2,0.6,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.3,0.1,0.6,0.014864864864864866,0.021725082649327064,0.15317392887486345
0.3,0.2,0.5,0.01385135135135135,0.018782674881551647,0.15365942468746208
0.2,0.3,0.5,0.013682432432432435,0.01936072858460535,0.16676781162762472
0.4,0.1,0.5,0.012162162162162163,0.014903479850662246,0.1546304163126593
0.1,0.4,0.5,0.011655405405405406,0.016207797529219276,0.1802403204272363
0.3,0.3,0.4,0.01064189189189189,0.013163658292171693,0.17332200509770604
0.4,0.2,0.4,0.009797297297297298,0.009957284422581881,0.14916858842092487
0.5,0.1,0.4,0.009797297297297298,0.00962963762941916,0.144556378201238
0.2,0.4,0.4,0.008783783783783784,0.011557973117975996,0.18181818181818182
0.5,0.2,0.3,0.008614864864864865,0.008557852761920285,0.1369098191528098
0.1,0.5,0.4,0.008108108108108109,0.01072718202064078,0.18303192134967836
0.4,0.3,0.3,0.008108108108108109,0.008489187481616072,0.1633693409394344
0.6,0.1,0.3,0.00793918918918919,0.007913801321617701,0.12938463405753126
0.6,0.2,0.2,0.00793918918918919,0.007913801321617701,0.1292632601043816
0.6,0.3,0.1,0.00793918918918919,0.007913801321617701,0.1292632601043816
0.7,0.1,0.2,0.00777027027027027,0.007824896627449849,0.1292632601043816
0.7,0.2,0.1,0.00777027027027027,0.007824896627449849,0.1292632601043816
0.8,0.1,0.1,0.00777027027027027,0.007824896627449849,0.1292632601043816
0.5,0.3,0.2,0.007432432432432433,0.007450457200185345,0.14467775215438766
0.3,0.4,0.3,0.007263513513513515,0.008696925302884063,0.18242505158393008
0.5,0.4,0.1,0.006418918918918919,0.006137218060334163,0.15839300886029858
0.4,0.4,0.2,0.0057432432432432436,0.005985060904023814,0.16652506372132542
0.2,0.5,0.3,0.005574324324324325,0.008243691319996442,0.18242505158393008
0.4,0.5,0.1,0.005067567567567568,0.005648913241467221,0.173686126957155
0.1,0.6,0.3,0.004560810810810811,0.0062675577020234454,0.17016628231581502
0.3,0.6,0.1,0.004560810810810811,0.0062675577020234454,0.17004490836266536
0.2,0.6,0.2,0.004560810810810811,0.0062675577020234454,0.16980216045636606
0.3,0.5,0.2,0.004391891891891892,0.006220404217369961,0.17538536230125015
0.1,0.7,0.2,0.004391891891891892,0.006199990134455878,0.16907391673746813
0.1,0.8,0.1,0.004391891891891892,0.006199990134455878,0.16907391673746813
0.2,0.7,0.1,0.004391891891891892,0.006199990134455878,0.16907391673746813
